"","SpeciesID","ScientificName","TSNID","CommonName","Rank","Taxon","Nonnative","Occurrences","nSites","ModelNorth","ModelSouth","LinkHabitat","LinkSpclim","AUCSpclimNorth","AUCVegHFNorth","AUCVegHFSpclimNorth","AUCSpclimSouth","AUCVegHFSouth","AUCVegHFSpclimSouth","Bootstrap","Threshold"
"AlderFlycatcher","AlderFlycatcher","Empidonax alnorum",99002622,"Alder Flycatcher","Species","Birds",NA,16747,NA,TRUE,TRUE,"log","log",NA,NA,0.779573295,NA,NA,0.80564566,50,0.995
"AmericanCrow","AmericanCrow","Corvus brachyrhynchos",179731,"American Crow","Species","Birds",NA,31759,NA,TRUE,TRUE,"log","log",NA,NA,0.896221312,NA,NA,0.712912808,24,0.995
"AmericanGoldfinch","AmericanGoldfinch","Spinus tristis",99001435,"American Goldfinch","Species","Birds",NA,5639,NA,TRUE,TRUE,"log","log",NA,NA,0.865606534,NA,NA,0.705747069,12,0.995
"AmericanRedstart","AmericanRedstart","Setophaga ruticilla",178979,"American Redstart","Species","Birds",NA,8100,NA,TRUE,FALSE,"log","log",NA,NA,0.813980309,NA,NA,NA,62,0.995
"AmericanRobin","AmericanRobin","Turdus migratorius",179759,"American Robin","Species","Birds",NA,47315,NA,TRUE,TRUE,"log","log",NA,NA,0.7406805,NA,NA,0.699125666,45,0.995
"AmericanThreetoedWoodpecker","AmericanThreetoedWoodpecker","Picoides dorsalis",685725,"American Three-toed Woodpecker","Species","Birds",NA,601,NA,TRUE,FALSE,"log","log",NA,NA,0.838553249,NA,NA,NA,80,0.995
"BaltimoreOriole","BaltimoreOriole","Icterus galbula",179083,"Baltimore Oriole","Species","Birds",NA,3623,NA,TRUE,TRUE,"log","log",NA,NA,0.8858466,NA,NA,0.728352221,23,0.995
"BarnSwallow","BarnSwallow","Hirundo rustica",99002653,"Barn Swallow","Species","Birds",NA,5277,NA,TRUE,TRUE,"log","log",NA,NA,0.843095523,NA,NA,0.625786946,8,0.995
"BlackAndWhiteWarbler","BlackAndWhiteWarbler","Mniotilta varia",178844,"Black-and-white Warbler","Species","Birds",NA,4590,NA,TRUE,FALSE,"log","log",NA,NA,0.817124582,NA,NA,NA,24,0.995
"BlackbilledMagpie","BlackbilledMagpie","Pica hudsonia",726117,"Black-billed Magpie","Species","Birds",NA,19470,NA,TRUE,TRUE,"log","log",NA,NA,0.910570581,NA,NA,0.641227398,23,0.995
"BaybreastedWarbler","BaybreastedWarbler","Setophaga castanea",99001404,"Bay-breasted Warbler","Species","Birds",NA,2953,NA,TRUE,FALSE,"log","log",NA,NA,0.89011227,NA,NA,NA,6,0.995
"BlackbackedWoodpecker","BlackbackedWoodpecker","Picoides arcticus",178250,"Black-backed Woodpecker","Species","Birds",NA,460,NA,TRUE,FALSE,"log","log",NA,NA,0.909135932,NA,NA,NA,55,0.995
"BlackcappedChickadee","BlackcappedChickadee","Poecile atricapillus",554382,"Black-capped Chickadee","Species","Birds",NA,9434,NA,TRUE,FALSE,"log","log",NA,NA,0.654594881,NA,NA,NA,73,0.995
"BrownheadedCowbird","BrownheadedCowbird","Molothrus ater",179112,"Brown-headed Cowbird","Species","Birds",NA,22851,NA,TRUE,TRUE,"log","log",NA,NA,0.807058625,NA,NA,0.697993402,28,0.995
